ligand,best_affinity_kcal_per_mol,out_pdbqt,log_path,success
ligand_271,-8.842,vina_docking_output/ligand_271_out.pdbqt,vina_docking_output/ligand_271.log,True
ligand_272,-10.56,vina_docking_output/ligand_272_out.pdbqt,vina_docking_output/ligand_272.log,True
ligand_277,-8.748,vina_docking_output/ligand_277_out.pdbqt,vina_docking_output/ligand_277.log,True
ligand_279,-8.978,vina_docking_output/ligand_279_out.pdbqt,vina_docking_output/ligand_279.log,True
ligand_28,-9.835,vina_docking_output/ligand_28_out.pdbqt,vina_docking_output/ligand_28.log,True
ligand_280,-9.202,vina_docking_output/ligand_280_out.pdbqt,vina_docking_output/ligand_280.log,True
ligand_286,-9.425,vina_docking_output/ligand_286_out.pdbqt,vina_docking_output/ligand_286.log,True
ligand_294,-8.793,vina_docking_output/ligand_294_out.pdbqt,vina_docking_output/ligand_294.log,True
ligand_30,-9.376,vina_docking_output/ligand_30_out.pdbqt,vina_docking_output/ligand_30.log,True
ligand_302,-9.024,vina_docking_output/ligand_302_out.pdbqt,vina_docking_output/ligand_302.log,True
ligand_305,-8.78,vina_docking_output/ligand_305_out.pdbqt,vina_docking_output/ligand_305.log,True
ligand_306,-8.473,vina_docking_output/ligand_306_out.pdbqt,vina_docking_output/ligand_306.log,True
ligand_307,-9.044,vina_docking_output/ligand_307_out.pdbqt,vina_docking_output/ligand_307.log,True
ligand_308,-9.333,vina_docking_output/ligand_308_out.pdbqt,vina_docking_output/ligand_308.log,True
ligand_309,-9.338,vina_docking_output/ligand_309_out.pdbqt,vina_docking_output/ligand_309.log,True
ligand_314,-8.815,vina_docking_output/ligand_314_out.pdbqt,vina_docking_output/ligand_314.log,True
ligand_318,-7.874,vina_docking_output/ligand_318_out.pdbqt,vina_docking_output/ligand_318.log,True
ligand_320,-9.007,vina_docking_output/ligand_320_out.pdbqt,vina_docking_output/ligand_320.log,True
ligand_322,-9.414,vina_docking_output/ligand_322_out.pdbqt,vina_docking_output/ligand_322.log,True
ligand_323,-9.424,vina_docking_output/ligand_323_out.pdbqt,vina_docking_output/ligand_323.log,True
ligand_324,-9.138,vina_docking_output/ligand_324_out.pdbqt,vina_docking_output/ligand_324.log,True
ligand_328,-8.841,vina_docking_output/ligand_328_out.pdbqt,vina_docking_output/ligand_328.log,True
ligand_33,-9.619,vina_docking_output/ligand_33_out.pdbqt,vina_docking_output/ligand_33.log,True
ligand_332,-8.422,vina_docking_output/ligand_332_out.pdbqt,vina_docking_output/ligand_332.log,True
