Molecule,SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,index_ID,fp_similarity,mol,mol_prepared
<rdkit.Chem.rdchem.Mol object at 0x169b31690>,COc1cccc(CN2CCC(Nc3nc(Nc4ccccc4)c4[nH]cnc4n3)CC2)c1,s_27____13068052____10803818,429.5,3.4405536266666674,7,7,3,1035,0.6296296296296297,<rdkit.Chem.rdchem.Mol object at 0x175420900>,<rdkit.Chem.rdchem.Mol object at 0x177c43370>
<rdkit.Chem.rdchem.Mol object at 0x169b32650>,COc1ccc(C(C)Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)cn1,s_27____24506096____10803818,361.4,3.2071076273333334,6,7,3,1051,0.6296296296296297,<rdkit.Chem.rdchem.Mol object at 0x175420970>,<rdkit.Chem.rdchem.Mol object at 0x177c42ff0>
<rdkit.Chem.rdchem.Mol object at 0x15e3e46d0>,CCOc1ccccc1C(C)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____2235494____10803818,374.4,4.1871304789999995,7,6,3,30,0.6296296296296297,<rdkit.Chem.rdchem.Mol object at 0x1754209e0>,<rdkit.Chem.rdchem.Mol object at 0x177c433e0>
<rdkit.Chem.rdchem.Mol object at 0x169358b30>,c1ccc(Nc2nc(NCc3ccc(OCC4CCCO4)cc3)nc3nc[nH]c23)cc1,s_27____771836____10803818,416.5,3.832336528,8,7,3,621,0.6296296296296297,<rdkit.Chem.rdchem.Mol object at 0x175420a50>,<rdkit.Chem.rdchem.Mol object at 0x177c43450>
<rdkit.Chem.rdchem.Mol object at 0x15e3e6500>,COc1ccc(CN2CCC(CNc3nc(Nc4ccccc4)c4[nH]cnc4n3)CC2)cc1,s_27____2228708____10803818,443.6,3.9011543753333338,8,7,3,62,0.6296296296296297,<rdkit.Chem.rdchem.Mol object at 0x175420ac0>,<rdkit.Chem.rdchem.Mol object at 0x177c434c0>
<rdkit.Chem.rdchem.Mol object at 0x169b30f90>,c1ccc(Nc2nc(NCc3ccncc3OCC3CCOC3)nc3nc[nH]c23)cc1,s_27____10228314____10803818,417.5,2.2148499796666674,8,8,3,1027,0.6296296296296297,<rdkit.Chem.rdchem.Mol object at 0x175420b30>,<rdkit.Chem.rdchem.Mol object at 0x177c43530>
<rdkit.Chem.rdchem.Mol object at 0x169b4ab90>,COc1ccccc1CN1CCC(Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,s_27____1128866____10803818,429.5,3.4405536266666674,7,7,3,1119,0.6296296296296297,<rdkit.Chem.rdchem.Mol object at 0x175420ba0>,<rdkit.Chem.rdchem.Mol object at 0x177c43610>
<rdkit.Chem.rdchem.Mol object at 0x169bcf6f0>,CC1(C)Oc2ccc(CNc3nc(Nc4ccccc4)c4[nH]cnc4n3)cc2O1,s_27____14411180____10803818,388.4,3.672247842333334,5,7,3,1390,0.6296296296296297,<rdkit.Chem.rdchem.Mol object at 0x175420c10>,<rdkit.Chem.rdchem.Mol object at 0x177c43680>
<rdkit.Chem.rdchem.Mol object at 0x15e3e4510>,Clc1nc(NCc2ccccc2OCC2CCCCC2)c2[nH]cnc2n1,s_27____14946364____11672122,371.9,4.3178693159999995,6,5,2,28,0.6296296296296297,<rdkit.Chem.rdchem.Mol object at 0x175420c80>,<rdkit.Chem.rdchem.Mol object at 0x177c436f0>
<rdkit.Chem.rdchem.Mol object at 0x16937db60>,COc1ncc(C(C)Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1C,s_27____25542170____10803818,375.4,3.7205290166666662,6,7,3,704,0.6296296296296297,<rdkit.Chem.rdchem.Mol object at 0x175420cf0>,<rdkit.Chem.rdchem.Mol object at 0x177c43760>
