ligand_717 : Success ; best_aff=-9.27
ligand_720 : Success ; best_aff=-8.377
ligand_721 : Success ; best_aff=-8.108
ligand_723 : Success ; best_aff=-9.157
ligand_727 : Success ; best_aff=-8.221
ligand_728 : Success ; best_aff=-8.847
ligand_732 : Success ; best_aff=-8.963
ligand_733 : Success ; best_aff=-9.03
ligand_735 : Success ; best_aff=-9.582
ligand_738 : Success ; best_aff=-8.709
ligand_739 : Success ; best_aff=-8.727
ligand_74 : Success ; best_aff=-9.984
ligand_744 : Success ; best_aff=-8.674
ligand_745 : Success ; best_aff=-8.662
ligand_747 : Success ; best_aff=-8.873
ligand_750 : Success ; best_aff=-9.153
ligand_756 : Success ; best_aff=-9.759
ligand_757 : Success ; best_aff=-9.076
ligand_762 : Success ; best_aff=-8.936
ligand_765 : Success ; best_aff=-8.8
ligand_768 : Success ; best_aff=-8.832
ligand_775 : Success ; best_aff=-9.265
ligand_778 : Success ; best_aff=-8.904
ligand_781 : Success ; best_aff=-8.692
ligand_783 : Success ; best_aff=-8.85
ligand_785 : Success ; best_aff=-9.499
ligand_788 : Success ; best_aff=-8.799
ligand_789 : Success ; best_aff=-9.723
ligand_790 : Success ; best_aff=-8.202
ligand_795 : Success ; best_aff=-9.445
ligand_796 : Success ; best_aff=-8.328
ligand_799 : Success ; best_aff=-8.644
ligand_801 : Success ; best_aff=-8.434
ligand_802 : Success ; best_aff=-9.405
ligand_803 : Success ; best_aff=-8.93
ligand_804 : Success ; best_aff=-9.231
ligand_811 : Success ; best_aff=-9.63
ligand_814 : Success ; best_aff=-8.509
ligand_817 : Success ; best_aff=-8.87
ligand_819 : Success ; best_aff=-8.636
ligand_826 : Success ; best_aff=-8.964
ligand_827 : Success ; best_aff=-8.821
ligand_834 : Success ; best_aff=-8.831
ligand_835 : Success ; best_aff=-10.14
ligand_838 : Success ; best_aff=-9.041
ligand_845 : Success ; best_aff=-9.637
ligand_851 : Success ; best_aff=-8.714
ligand_853 : Success ; best_aff=-8.901
ligand_854 : Success ; best_aff=-8.807
ligand_857 : Success ; best_aff=-7.791
ligand_862 : Success ; best_aff=-9.513
ligand_87 : Success ; best_aff=-9.083
ligand_876 : Success ; best_aff=-8.769
ligand_885 : Success ; best_aff=-9.014
ligand_89 : Success ; best_aff=-9.194
ligand_892 : Success ; best_aff=-9.836
ligand_904 : Success ; best_aff=-9.59
ligand_910 : Success ; best_aff=-8.76
ligand_911 : Success ; best_aff=-8.88
ligand_918 : Success ; best_aff=-9.475
ligand_919 : Success ; best_aff=-8.948
ligand_920 : Success ; best_aff=-9.426
ligand_925 : Success ; best_aff=-8.952
ligand_94 : Success ; best_aff=-9.089
ligand_941 : Success ; best_aff=-9.374
ligand_95 : Success ; best_aff=-8.439
ligand_967 : Success ; best_aff=-9.09
ligand_98 : Success ; best_aff=-9.123
ligand_981 : Success ; best_aff=-9.781
ligand_987 : Success ; best_aff=-8.904
ligand_99 : Success ; best_aff=-9.256
