SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,fp_similarity,ID,mol_prepared,aligned_mol,RMSD
CC(COc1cccc(F)c1)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____1671938____10803818,378.4,4.050272,7,6,3,0.705882,426,<rdkit.Chem.rdchem.Mol object at 0x177c70d60>,<rdkit.Chem.rdchem.Mol object at 0x177cbc860>,4.672273446918385
CC(COc1ccccc1Cl)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25541756____10803818,394.9,4.511615,7,6,3,0.705882,1247,<rdkit.Chem.rdchem.Mol object at 0x177c70e40>,<rdkit.Chem.rdchem.Mol object at 0x177cbcd60>,4.58001725313911
CC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)Oc1ccc(Cl)cc1,s_27____6201730____10803818,394.9,4.511615,7,6,3,0.705882,595,<rdkit.Chem.rdchem.Mol object at 0x177c70f20>,<rdkit.Chem.rdchem.Mol object at 0x177cbca90>,5.331963394709269
Clc1ccc(OCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)nc1,s_27____7105934____10803818,381.8,3.471825,7,7,3,0.705882,819,<rdkit.Chem.rdchem.Mol object at 0x177c71000>,<rdkit.Chem.rdchem.Mol object at 0x177cbcea0>,5.171688768206519
CC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)Oc1ccc(F)cc1,s_27____6079814____10803818,378.4,4.050272,7,6,3,0.705882,408,<rdkit.Chem.rdchem.Mol object at 0x177c710e0>,<rdkit.Chem.rdchem.Mol object at 0x177cbcbd0>,5.331902329855591
OC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)COc1ccc(F)cc1,s_27____1323120____10803818,394.4,3.003362,8,7,4,0.705882,1340,<rdkit.Chem.rdchem.Mol object at 0x177c711c0>,<rdkit.Chem.rdchem.Mol object at 0x177cbcfe0>,5.011493229779943
Fc1ccc(OCCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____2262016____10803818,378.4,3.693657,8,6,3,0.705882,110,<rdkit.Chem.rdchem.Mol object at 0x177c712a0>,<rdkit.Chem.rdchem.Mol object at 0x177cbcd10>,5.060830037698978
CC(COc1ccccc1F)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____1671934____10803818,378.4,4.050272,7,6,3,0.705882,307,<rdkit.Chem.rdchem.Mol object at 0x177c71380>,<rdkit.Chem.rdchem.Mol object at 0x177cbd120>,4.562646003422464
CC(COc1ccc(F)cc1F)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____1671932____10803818,396.4,4.192974,7,6,3,0.705882,1365,<rdkit.Chem.rdchem.Mol object at 0x177c71460>,<rdkit.Chem.rdchem.Mol object at 0x177cbce50>,4.799946922739383
CC(COc1cccc(Cl)c1)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25545808____10803818,394.9,4.511615,7,6,3,0.705882,508,<rdkit.Chem.rdchem.Mol object at 0x177c71540>,<rdkit.Chem.rdchem.Mol object at 0x177cbd260>,4.685142540095562
c1ccc(Nc2nc(NCc3ccc(OC4CCNC4)nc3)nc3[nH]cnc23)cc1,s_270166____16815796____17625750,402.5,2.177195,7,8,4,0.703704,721,<rdkit.Chem.rdchem.Mol object at 0x177c71620>,<rdkit.Chem.rdchem.Mol object at 0x177cbcf90>,4.862644376210472
C=CCCCCC(O)CNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25524520____10803818,352.4,3.570228,10,6,4,0.702128,425,<rdkit.Chem.rdchem.Mol object at 0x177c71700>,<rdkit.Chem.rdchem.Mol object at 0x177c574c0>,5.131317845444689
c1ccc(Nc2nc(NC3COc4ccccc4C3)nc3[nH]cnc23)cc1,s_27____25523550____10803818,358.4,3.590651,4,6,3,0.692308,106,<rdkit.Chem.rdchem.Mol object at 0x177c717e0>,<rdkit.Chem.rdchem.Mol object at 0x177cbd0d0>,5.045710174786669
c1ccc(Nc2nc(NC[C@H]3CCc4ccccc4O3)nc3[nH]cnc23)cc1,s_27____21415768____10803818,372.4,4.035219,5,6,3,0.692308,1146,<rdkit.Chem.rdchem.Mol object at 0x177c718c0>,<rdkit.Chem.rdchem.Mol object at 0x177ce13a0>,4.747787473934488
c1ccc(Nc2nc(NCc3ccnc(OC4CCC4)c3)nc3[nH]cnc23)cc1,s_27____18539502____10803818,387.4,3.700666,7,7,3,0.692308,672,<rdkit.Chem.rdchem.Mol object at 0x177c719a0>,<rdkit.Chem.rdchem.Mol object at 0x1741c3b00>,4.77958463620976
c1ccc(Nc2nc(NCc3ccc(OC4CCCC4)nc3)nc3[nH]cnc23)cc1,s_27____885670____10803818,401.5,4.145234,7,7,3,0.692308,854,<rdkit.Chem.rdchem.Mol object at 0x177c71a80>,<rdkit.Chem.rdchem.Mol object at 0x177cbd530>,4.764574694304196
c1ccc(Nc2nc(N[C@H]3C[C@@]34CCOc3ccccc34)nc3[nH]cnc23)cc1,s_27____16013714____10803818,384.4,3.558084,4,6,3,0.692308,611,<rdkit.Chem.rdchem.Mol object at 0x177c71b60>,<rdkit.Chem.rdchem.Mol object at 0x177cbd4e0>,5.30752246663106
CC(C)c1ccc(OCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____802904____10803818,388.5,4.736004,8,6,3,0.692308,692,<rdkit.Chem.rdchem.Mol object at 0x177c71cb0>,<rdkit.Chem.rdchem.Mol object at 0x177cbd620>,5.131874491223188
c1ccc(Nc2nc(NCc3ccnc(OCC4CC4)c3)nc3[nH]cnc23)cc1,s_27____4509596____10803818,387.4,3.57111,8,7,3,0.692308,302,<rdkit.Chem.rdchem.Mol object at 0x177c71d90>,<rdkit.Chem.rdchem.Mol object at 0x177cbd210>,5.193604859450196
c1ccc(Nc2nc(NCc3ccc(OC4CCCCC4)nc3)nc3[nH]cnc23)cc1,s_27____2536028____10803818,415.5,4.589803,7,7,3,0.692308,713,<rdkit.Chem.rdchem.Mol object at 0x177c71e70>,<rdkit.Chem.rdchem.Mol object at 0x177ce1300>,4.5931555164198725
CC(C)Oc1ccc(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cn1,s_27____803114____10803818,375.4,3.563916,7,7,3,0.692308,826,<rdkit.Chem.rdchem.Mol object at 0x177c71f50>,<rdkit.Chem.rdchem.Mol object at 0x177cbd5d0>,5.198301718411934
