ID,SMILES_Prepared,Molecule_Prepared,SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,index_ID,fp_similarity,aligned_mol,RMSD
,CC1(C)CO[C@](C)(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CO1,<rdkit.Chem.rdchem.Mol object at 0x16483a420>,CC1(C)COC(C)(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CO1,s_27____25525086____10803818,368.4,2.6189651193333336,5,7,3,1132,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb840>,4.614396982149104
,CC(C)C[C@H]1OCCC[C@H]1Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,<rdkit.Chem.rdchem.Mol object at 0x16483a500>,CC(C)CC1OCCCC1Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____8992500____10803818,366.5,3.936219857333333,6,6,3,1127,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb760>,5.414497469826656
,CCC(CC)[C@H]1C[C@H](Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCO1,<rdkit.Chem.rdchem.Mol object at 0x16483a5e0>,CCC(CC)C1CC(Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCO1,s_27____8366568____10803818,380.5,4.001339320333332,7,6,3,1147,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb7d0>,5.4271997963791545
,O[C@@H](CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)[C@@H]1CCCCO1,<rdkit.Chem.rdchem.Mol object at 0x16483a6c0>,OC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCCCO1,s_27____26263336____10803818,354.4,2.079768399333333,6,7,4,1120,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb680>,5.182821654473757
,CC(C)(C)O[C@@H]1CC[C@H]1Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,<rdkit.Chem.rdchem.Mol object at 0x16483a7a0>,CC(C)(C)O[C@@H]1CC[C@H]1Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____23862212____10803818,352.4,3.3792613940000007,6,6,3,1118,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb6f0>,5.62079645148925
,CCO[C@H](CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x16483a880>,CCOC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCCCC1,s_27____17757022____10803818,380.5,4.330828432666667,8,6,3,1148,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb5a0>,5.158366704572499
,OC1CCN(CCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,<rdkit.Chem.rdchem.Mol object at 0x16483a960>,OC1CCN(CCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,s_27____10813570____10803818,353.4,1.183649763000001,6,7,4,1093,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb610>,5.327934025507076
,CO[C@H]1CC(Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)C[C@@H]1OC,<rdkit.Chem.rdchem.Mol object at 0x16483aa40>,CO[C@H]1CC(Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)C[C@@H]1OC,s_27____16723066____10803818,354.4,1.880690376,6,7,3,1090,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb530>,5.353824601314946
,CCCO[C@H]1CC[C@H](Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,<rdkit.Chem.rdchem.Mol object at 0x16483ab20>,CCCOC1CCC(Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,s_27____15739040____10803818,366.5,3.781954506,7,6,3,1151,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb4c0>,5.717080145036265
,CC(C)(C)[C@@H]1OCCC[C@H]1CNc1nc(Nc2ccccc2)c2[nH]cnc2n1,<rdkit.Chem.rdchem.Mol object at 0x16483ac00>,CC(C)(C)C1OCCCC1CNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____5126186____10803818,380.5,3.992360316,6,6,3,1031,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb3e0>,4.394926729785574
,CC(C)(C)OCCCCCCNc1nc(Nc2ccccc2)c2[nH]cnc2n1,<rdkit.Chem.rdchem.Mol object at 0x16483ace0>,CC(C)(C)OCCCCCCNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25530152____10803818,382.5,4.320389527333332,11,6,3,1152,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb450>,4.69421266516875
,OCCCCC1CCN(c2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,<rdkit.Chem.rdchem.Mol object at 0x16483adc0>,OCCCCC1CCN(c2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,s_27____25520956____10803818,366.5,3.5166239856666666,7,6,3,1153,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb370>,5.008936888856786
,COC[C@@H](Nc1nc(Nc2ccccc2)c2[nH]cnc2n1)[C@H]1CCCOC1,<rdkit.Chem.rdchem.Mol object at 0x16483aea0>,COCC(Nc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCCOC1,s_27____13037108____10803818,368.4,2.323080781666667,7,7,3,1170,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb300>,5.046330943675887
