Molecule,SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,index_ID,fp_similarity,mol,mol_prepared
<rdkit.Chem.rdchem.Mol object at 0x30018a9d0>,CC(COc1ccccc1Cl)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25541756____10803818,394.9,4.511614956,7,6,3,1247,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed620>,<rdkit.Chem.rdchem.Mol object at 0x3030f1380>
<rdkit.Chem.rdchem.Mol object at 0x17763b1b0>,CC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)Oc1ccc(Cl)cc1,s_27____6201730____10803818,394.9,4.511614956,7,6,3,595,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed690>,<rdkit.Chem.rdchem.Mol object at 0x3150b4120>
<rdkit.Chem.rdchem.Mol object at 0x1776c4970>,Clc1ccc(OCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)nc1,s_27____7105934____10803818,381.8,3.4718250343333334,7,7,3,819,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed700>,<rdkit.Chem.rdchem.Mol object at 0x3150b4190>
<rdkit.Chem.rdchem.Mol object at 0x16c08f680>,CC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)Oc1ccc(F)cc1,s_27____6079814____10803818,378.4,4.050272216,7,6,3,408,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed770>,<rdkit.Chem.rdchem.Mol object at 0x3150b4200>
<rdkit.Chem.rdchem.Mol object at 0x3001cc6d0>,OC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)COc1ccc(F)cc1,s_27____1323120____10803818,394.4,3.0033622493333336,8,7,4,1340,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed7e0>,<rdkit.Chem.rdchem.Mol object at 0x3150b4270>
<rdkit.Chem.rdchem.Mol object at 0x16c005620>,Fc1ccc(OCCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____2262016____10803818,378.4,3.693656930333333,8,6,3,110,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed850>,<rdkit.Chem.rdchem.Mol object at 0x3150b42e0>
<rdkit.Chem.rdchem.Mol object at 0x16c0695b0>,CC(COc1ccccc1F)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____1671934____10803818,378.4,4.050272216,7,6,3,307,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed8c0>,<rdkit.Chem.rdchem.Mol object at 0x3150b4350>
<rdkit.Chem.rdchem.Mol object at 0x3001cdfc0>,CC(COc1ccc(F)cc1F)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____1671932____10803818,396.4,4.192974152333333,7,6,3,1365,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed930>,<rdkit.Chem.rdchem.Mol object at 0x3150b43c0>
<rdkit.Chem.rdchem.Mol object at 0x177619bd0>,CC(COc1cccc(Cl)c1)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25545808____10803818,394.9,4.511614956,7,6,3,508,0.7058823529411765,<rdkit.Chem.rdchem.Mol object at 0x3030ed9a0>,<rdkit.Chem.rdchem.Mol object at 0x3030f06d0>
<rdkit.Chem.rdchem.Mol object at 0x17767ece0>,c1ccc(Nc2nc(NCc3ccc(OC4CCNC4)nc3)nc3nc[nH]c23)cc1,s_270166____16815796____17625750,402.5,2.1771951361452384,7,8,4,721,0.7037037037037037,<rdkit.Chem.rdchem.Mol object at 0x3030eda10>,<rdkit.Chem.rdchem.Mol object at 0x3150b40b0>
<rdkit.Chem.rdchem.Mol object at 0x16c0a8900>,C=CCCCCC(O)CNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25524520____10803818,352.4,3.5702277293333324,10,6,4,425,0.7021276595744681,<rdkit.Chem.rdchem.Mol object at 0x3030eda80>,<rdkit.Chem.rdchem.Mol object at 0x3150b44a0>
<rdkit.Chem.rdchem.Mol object at 0x16c005230>,c1ccc(Nc2nc(NC3COc4ccccc4C3)nc3nc[nH]c23)cc1,s_27____25523550____10803818,358.4,3.590650831333333,4,6,3,106,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030edaf0>,<rdkit.Chem.rdchem.Mol object at 0x3150b4510>
<rdkit.Chem.rdchem.Mol object at 0x3001687b0>,c1ccc(Nc2nc(NC[C@H]3CCc4ccccc4O3)nc3nc[nH]c23)cc1,s_27____21415768____10803818,372.4,4.035219496333333,5,6,3,1146,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030edb60>,<rdkit.Chem.rdchem.Mol object at 0x3150b4580>
<rdkit.Chem.rdchem.Mol object at 0x17765bb50>,c1ccc(Nc2nc(NCc3ccnc(OC4CCC4)c3)nc3nc[nH]c23)cc1,s_27____18539502____10803818,387.4,3.7006658043333336,7,7,3,672,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030edbd0>,<rdkit.Chem.rdchem.Mol object at 0x3150b45f0>
<rdkit.Chem.rdchem.Mol object at 0x1776c69d0>,c1ccc(Nc2nc(NCc3ccc(OC4CCCC4)nc3)nc3nc[nH]c23)cc1,s_27____885670____10803818,401.5,4.145234469333333,7,7,3,854,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030edc40>,<rdkit.Chem.rdchem.Mol object at 0x3150b4660>
<rdkit.Chem.rdchem.Mol object at 0x177658190>,c1ccc(Nc2nc(N[C@H]3C[C@@]34CCOc3ccccc34)nc3nc[nH]c23)cc1,s_27____16013714____10803818,384.4,3.5580836849999997,4,6,3,611,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030edcb0>,<rdkit.Chem.rdchem.Mol object at 0x3150b4740>
<rdkit.Chem.rdchem.Mol object at 0x17767d000>,CC(C)c1ccc(OCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____802904____10803818,388.5,4.736004405666667,8,6,3,692,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030edd20>,<rdkit.Chem.rdchem.Mol object at 0x3150b47b0>
<rdkit.Chem.rdchem.Mol object at 0x16c0690e0>,c1ccc(Nc2nc(NCc3ccnc(OCC4CC4)c3)nc3nc[nH]c23)cc1,s_27____4509596____10803818,387.4,3.5711098760000004,8,7,3,302,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030edd90>,<rdkit.Chem.rdchem.Mol object at 0x3150b4820>
<rdkit.Chem.rdchem.Mol object at 0x17767e420>,c1ccc(Nc2nc(NCc3ccc(OC4CCCCC4)nc3)nc3nc[nH]c23)cc1,s_27____2536028____10803818,415.5,4.589803134333334,7,7,3,713,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030ede00>,<rdkit.Chem.rdchem.Mol object at 0x3150b4890>
<rdkit.Chem.rdchem.Mol object at 0x1776c4f90>,CC(C)Oc1ccc(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cn1,s_27____803114____10803818,375.4,3.563915582,7,7,3,826,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030ede70>,<rdkit.Chem.rdchem.Mol object at 0x3150b4900>
<rdkit.Chem.rdchem.Mol object at 0x17761aa40>,C[C@H]1c2ccccc2O[C@H]1CNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____13712244____10803818,372.4,3.9556236576666666,5,6,3,523,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030edee0>,<rdkit.Chem.rdchem.Mol object at 0x3150b4970>
<rdkit.Chem.rdchem.Mol object at 0x300106420>,CC(Nc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1COc2ccccc21,s_27____7794114____10803818,372.4,3.6074117346666665,5,6,3,981,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030edf50>,<rdkit.Chem.rdchem.Mol object at 0x3150b49e0>
<rdkit.Chem.rdchem.Mol object at 0x16bfe49e0>,CC(C)(C)Oc1ccc(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cn1,s_27____8376184____10803818,389.5,3.844492250333334,7,7,3,33,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030edfc0>,<rdkit.Chem.rdchem.Mol object at 0x3150b4a50>
<rdkit.Chem.rdchem.Mol object at 0x17769e030>,CCCOc1ccc(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cn1,s_27____4146616____10803818,375.4,3.6698629523333337,8,7,3,775,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030ee030>,<rdkit.Chem.rdchem.Mol object at 0x3150b46d0>
<rdkit.Chem.rdchem.Mol object at 0x1776c4200>,c1ccc(Nc2nc(NCCCc3ccc4c(c3)OCCO4)nc3nc[nH]c23)cc1,s_27____7048798____10803818,402.5,3.817781160666667,7,7,3,811,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030ee0a0>,<rdkit.Chem.rdchem.Mol object at 0x3150b4ac0>
<rdkit.Chem.rdchem.Mol object at 0x3001cf290>,c1ccc(Nc2nc(NCCC3CCOc4ccccc43)nc3nc[nH]c23)cc1,s_27____14410912____10803818,386.5,3.960463583,6,6,3,1385,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030ee110>,<rdkit.Chem.rdchem.Mol object at 0x3150b4b30>
<rdkit.Chem.rdchem.Mol object at 0x177619d90>,CCOc1ccccc1CCCNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25525286____10803818,388.5,4.503785324333334,9,6,3,510,0.6923076923076923,<rdkit.Chem.rdchem.Mol object at 0x3030ee180>,<rdkit.Chem.rdchem.Mol object at 0x3150b4ba0>
