SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,fp_similarity,ID,mol_prepared,aligned_mol,RMSD
CCOC1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCCCC1,s_27____17762726____10803818,366.5,3.879817,7,6,3,0.612245,115,<rdkit.Chem.rdchem.Mol object at 0x315156030>,<rdkit.Chem.rdchem.Mol object at 0x315d00a90>,5.385261089372291
CC1(OCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCCC1,s_27____13599068____10803818,352.4,3.435249,7,6,3,0.612245,1177,<rdkit.Chem.rdchem.Mol object at 0x315156110>,<rdkit.Chem.rdchem.Mol object at 0x3151617b0>,5.185490768448491
COC1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCCCCCC1,s_27____16919926____10803818,380.5,4.412147,6,6,3,0.612245,1178,<rdkit.Chem.rdchem.Mol object at 0x3151561f0>,<rdkit.Chem.rdchem.Mol object at 0x10659dee0>,4.8829178328261955
CC1COCC(CCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)O1,s_27____25523224____10803818,354.4,2.117772,6,7,3,0.612245,1182,<rdkit.Chem.rdchem.Mol object at 0x3151562d0>,<rdkit.Chem.rdchem.Mol object at 0x315d004f0>,4.60778661404875
O[C@H]1[C@H](Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)COC12CCC2,m_27____21000918____10803818,352.4,1.891779,4,7,4,0.612245,108,<rdkit.Chem.rdchem.Mol object at 0x3151563b0>,<rdkit.Chem.rdchem.Mol object at 0x315d00d60>,4.834407615863231
CN1CCC(C(C)(O)CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,s_27____25525338____10803818,381.5,1.984594,6,7,4,0.612245,1192,<rdkit.Chem.rdchem.Mol object at 0x315156490>,<rdkit.Chem.rdchem.Mol object at 0x315d00ef0>,4.773970217479243
c1ccc(Nc2nc(N[C@H]3CC[C@@H](OC4CCCC4)C3)nc3[nH]cnc23)cc1,s_27____26263090____10803818,378.5,3.739963,6,6,3,0.612245,1194,<rdkit.Chem.rdchem.Mol object at 0x315156570>,<rdkit.Chem.rdchem.Mol object at 0x315d00bd0>,5.161635111765686
CC1(C)OC2(CNc3nc(Nc4ccccc4)c4[nH]cnc4n3)CCC1CC2,s_27____20031114____10803818,378.5,3.667032,5,6,3,0.612245,1197,<rdkit.Chem.rdchem.Mol object at 0x3151566c0>,<rdkit.Chem.rdchem.Mol object at 0x315d00fe0>,5.059241593664738
CC1(C)CCC(CCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)O1,s_27____25523896____10803818,352.4,3.022646,6,6,3,0.612245,1206,<rdkit.Chem.rdchem.Mol object at 0x3151567a0>,<rdkit.Chem.rdchem.Mol object at 0x315d00d10>,4.719730606910137
CC(CC1CCCCO1)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,m_27____25526212____10803818,352.4,3.186638,6,6,3,0.612245,118,<rdkit.Chem.rdchem.Mol object at 0x315156880>,<rdkit.Chem.rdchem.Mol object at 0x315d00ea0>,4.628330710671385
CC1CC(CCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC(C)O1,s_27____9876646____10803818,366.5,3.468497,6,6,3,0.612245,100,<rdkit.Chem.rdchem.Mol object at 0x315156960>,<rdkit.Chem.rdchem.Mol object at 0x315d01210>,4.909222454831974
COCC(C)(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)COC,s_27____25520938____10803818,356.4,2.19396,9,7,3,0.612245,1211,<rdkit.Chem.rdchem.Mol object at 0x315156a40>,<rdkit.Chem.rdchem.Mol object at 0x315d00c70>,4.845716031008016
c1ccc(Nc2nc(NCC3(CC4CC4)CCOCC3)nc3[nH]cnc23)cc1,s_27____25810066____10803818,378.5,3.359164,7,6,3,0.612245,95,<rdkit.Chem.rdchem.Mol object at 0x315156b20>,<rdkit.Chem.rdchem.Mol object at 0x315d01170>,5.087598354532895
CC(C)(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCOC1,s_27____25523762____10803818,352.4,3.011706,6,6,3,0.612245,94,<rdkit.Chem.rdchem.Mol object at 0x315156c00>,<rdkit.Chem.rdchem.Mol object at 0x315d01120>,4.807027028592217
COC(C)(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCOCC1,s_27____20762476____10803818,382.5,2.562101,7,7,3,0.612245,1217,<rdkit.Chem.rdchem.Mol object at 0x315156ce0>,<rdkit.Chem.rdchem.Mol object at 0x315d01300>,4.996324439154755
CC(C)(C)C(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)OCCO,s_27____15111506____10803818,370.5,2.791939,9,7,4,0.612245,1233,<rdkit.Chem.rdchem.Mol object at 0x315156dc0>,<rdkit.Chem.rdchem.Mol object at 0x315d00f40>,4.836819746749577
OCCN(CC1CCCCC1)c1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25457226____10803818,366.5,3.906393,7,6,3,0.612245,1235,<rdkit.Chem.rdchem.Mol object at 0x315156ea0>,<rdkit.Chem.rdchem.Mol object at 0x315d01440>,4.791200394062273
CO[C@H]1[C@H](Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)COC1(C)C,m_27____18799958____10803818,354.4,2.398156,5,7,3,0.612245,87,<rdkit.Chem.rdchem.Mol object at 0x315156f80>,<rdkit.Chem.rdchem.Mol object at 0x315d01350>,5.14422960546311
CCOC1CCC(C(C)Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,m_27____25526274____10803818,380.5,3.99102,7,6,3,0.612245,116,<rdkit.Chem.rdchem.Mol object at 0x315157060>,<rdkit.Chem.rdchem.Mol object at 0x315d01490>,4.99431753950146
CC1(CCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCOCC1,s_27____25523686____10803818,352.4,2.935395,6,6,3,0.612245,120,<rdkit.Chem.rdchem.Mol object at 0x315157140>,<rdkit.Chem.rdchem.Mol object at 0x315d01260>,5.179943496887788
c1ccc(Nc2nc(NCC3CCC4COCCC4O3)nc3[nH]cnc23)cc1,s_27____25521532____10803818,380.5,2.271283,5,7,3,0.612245,157,<rdkit.Chem.rdchem.Mol object at 0x315157220>,<rdkit.Chem.rdchem.Mol object at 0x315d01530>,5.1745717146643315
CCC(CC)C1CC(Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCO1,s_27____8366568____10803818,380.5,4.001339,7,6,3,0.612245,1147,<rdkit.Chem.rdchem.Mol object at 0x315157300>,<rdkit.Chem.rdchem.Mol object at 0x315d017b0>,5.2699666270992225
